records=3337 sumC=272 174 828 sumU=399 389 223 dataStart=0x1C7703
DATA\fxs\particle.fx	889	889	0xA21024	FCDFB6B7
DATA\fxs\pipeline.fx	543	543	0xA2139D	EE260CAC
DATA\fxs\pipeline_alphatest.fx	746	746	0xA215BC	847CA077
DATA\fxs\players_colors.fxh	256	238	0xA218A6	EA9A5F6A
DATA\fxs\railroad.fx	486	486	0xA21994	B12705FE
DATA\fxs\road.fx	437	437	0xA21B7A	9DAFF11B
DATA\fxs\selection.fx	367	367	0xA21D2F	F7F98BE5
DATA\fxs\skybox.fx	908	908	0xA21E9E	0052940B
DATA\fxs\StencilShadow.fx	3163	3163	0xA2222A	DB1CCBD8
DATA\fxs\StencilShadowBigSquare.fx	780	780	0xA22E85	2D853D27
DATA\fxs\terrain.fx	547	547	0xA23191	BBC7944D
DATA\fxs\tree.fx	714	714	0xA233B4	74BF4171
DATA\fxs\vssver.scc	592	499	0xA2367E	52DE98FC
DATA\fxs\water.fx	9393	9255	0xA23871	790294E4
DATA\fxs\waves.fx	614	614	0xA25C98	982E7C4E
DATA\logic\stockmarket\sharesmodifiers.xml	1206	1175	0xA25EFE	18B99AA0
DATA\models\arab_big_1900_01.O2M	90964	67987	0xA26395	3F2BFCF6
DATA\models\arab_big_1900_02.O2M	131620	99021	0xA36D28	47B1703D
DATA\models\arab_big_1900_03.O2M	100981	74480	0xA4EFF5	C5F6DB11
DATA\models\arab_medium_1900_I_01.O2M	34951	26239	0xA612E5	9EF05665
DATA\models\arab_medium_1900_I_02.O2M	38487	29849	0xA67964	9597D04B
DATA\models\arab_medium_1900_L_01.O2M	42615	33267	0xA6EDFD	54607FA1
DATA\models\arab_medium_1900_L_02.O2M	36138	28296	0xA76FF0	66B590EF
DATA\models\arab_medium_1900_T_01.O2M	35837	27599	0xA7DE78	62237275
DATA\models\arab_medium_1900_T_02.O2M	34290	26363	0xA84A47	409A6F6D
DATA\models\arab_small_1900_01.O2M	36655	26834	0xA8B142	CDE442A6
DATA\models\arab_small_1900_02.O2M	31472	22574	0xA91A14	05E5AF4E
DATA\models\asia_big_1900_01.O2M	120407	79334	0xA97242	D4FF86E2
DATA\models\asia_medium_1900_I_01.O2M	38323	29776	0xAAA828	CFBA3040
DATA\models\asia_medium_1900_I_02.O2M	46235	36047	0xAB1C78	64FC0D48
DATA\models\asia_medium_1900_L_01.O2M	46987	37107	0xABA947	B2B8F3BC
DATA\models\asia_medium_1900_L_02.O2M	48757	38055	0xAC3A3A	B57CB9A3
DATA\models\asia_small_1900_01.O2M	44592	35416	0xACCEE1	C380C69B
DATA\models\asia_small_1900_02.O2M	62873	45147	0xAD5939	F358A5F4
DATA\models\assistant_1900.O2M	200884	171519	0xAE0994	DEBC260B
DATA\models\assistant_1950.O2M	225803	189615	0xB0A793	F50E222E
DATA\models\assistant_2000.O2M	191467	163702	0xB38C42	6C1CA90B
DATA\models\boja.O2M	100342	72520	0xB60BB8	3CE2FA40
DATA\models\box.O2M	3214	2863	0xB72700	84DD9D06
DATA\models\car_1900_1.O2M	5006	4632	0xB7322F	C597E716
DATA\models\car_1900_2.O2M	4769	4443	0xB74447	917C4B40
DATA\models\car_1900_3.O2M	6391	5851	0xB755A2	5836E5CD
DATA\models\car_1950_1.O2M	4375	4128	0xB76C7D	F38DB900
DATA\models\car_1950_2.O2M	4375	4043	0xB77C9D	526FA248
DATA\models\car_2000_1.O2M	5605	4859	0xB78C68	2BBC5A1C
DATA\models\car_2000_2.O2M	6127	5424	0xB79F63	5DEBC9E4
DATA\models\char_fontan_01.O2M	45710	36016	0xB7B493	F177A9BF
DATA\models\char_fontan_03.O2M	40911	28926	0xB84143	1BC4231A
DATA\models\char_government_1900.O2M	133063	99943	0xB8B241	8B50D990
DATA\models\char_grass_arab.O2M	830	784	0xBA38A8	630A4044
DATA\models\char_grass_arab_I.O2M	840	806	0xBA3BB8	DE7CA174
DATA\models\char_grass_arab_L.O2M	840	806	0xBA3EDE	D5732C40
DATA\models\char_grass_arab_S.O2M	840	806	0xBA4204	5BD48363
DATA\models\char_grass_integra.O2M	831	800	0xBA452A	2CD1A9BF
DATA\models\char_grass_integra_I.O2M	843	816	0xBA484A	C3B372C9
DATA\models\char_grass_integra_L.O2M	843	816	0xBA4B7A	C8BCFFFD
DATA\models\char_grass_integra_S.O2M	843	816	0xBA4EAA	461B50DE
DATA\models\char_grass_skwer_I.O2M	831	800	0xBA51DA	5DDD7936
DATA\models\char_grass_skwer_O.O2M	831	800	0xBA54FA	3712C291
DATA\models\char_grass_skwer_S.O2M	831	800	0xBA581A	BD070549
DATA\models\char_grass_skwer_X.O2M	831	800	0xBA5B3A	4A1D03F1
DATA\models\char_hq_0.O2M	260400	181471	0xBA5E5A	E0933D56
DATA\models\char_hq_0_anim.O2M	54892	44423	0xBD2339	796BD80B
DATA\models\char_hq_1.O2M	260400	181471	0xBDD0C0	E0933D56
DATA\models\char_hq_1_anim.O2M	54892	44417	0xC0959F	5CFFE5D5
DATA\models\char_hq_2.O2M	260400	181471	0xC14320	E0933D56
DATA\models\char_hq_2_anim.O2M	54892	44468	0xC407FF	5012BF9D
DATA\models\char_hq_3.O2M	260400	181471	0xC4B5B3	E0933D56
